file,series_id,name,location,marketplace,currency,quantity,unit,observations
chili-shay-india-bayint-naung-e18475d267.svg,chili-shay-india-bayint-naung-e18475d267,Chili (Shay) (India),Yangon,Bayint Naung,MMK,1,viss,2
chili-shay-pantanaw-bayint-naung-1f227f08a5.svg,chili-shay-pantanaw-bayint-naung-1f227f08a5,Chili (Shay) (Pantanaw),Yangon,Bayint Naung,MMK,1,viss,2
corn-bayint-naung-5a308001e4.svg,corn-bayint-naung-5a308001e4,Corn,Yangon,Bayint Naung,MMK,1,viss,2
cp-corn-kyautme-lashio-98058caef2.svg,cp-corn-kyautme-lashio-98058caef2,CP Corn (Kyautme),Shan,Lashio,MMK,1,viss,2
cp-corn-muse-lashio-cd572ed416.svg,cp-corn-muse-lashio-cd572ed416,CP Corn (Muse),Shan,Lashio,MMK,1,viss,2
cp-corn-naunghkio-lashio-416208aff2.svg,cp-corn-naunghkio-lashio-416208aff2,CP Corn (Naunghkio),Shan,Lashio,MMK,1,viss,2
custard-aungpan-ba2189d090.svg,custard-aungpan-ba2189d090,Custard,Shan,Aungpan,MMK,1,viss,2
eggplant-aungpan-0e90ba549a.svg,eggplant-aungpan-0e90ba549a,Eggplant,Shan,Aungpan,MMK,1,viss,2
garden-pea-aungpan-e69912332b.svg,garden-pea-aungpan-e69912332b,Garden Pea,Shan,Aungpan,MMK,1,viss,2
garlic-htoo-4-5-mawlamyine-6cf2ca32c1.svg,garlic-htoo-4-5-mawlamyine-6cf2ca32c1,Garlic (Htoo 4.5),MON,Mawlamyine,MMK,1,viss,2
garlic-kyu-gote-mawlamyine-1c33ae5d71.svg,garlic-kyu-gote-mawlamyine-1c33ae5d71,Garlic (Kyu gote),MON,Mawlamyine,MMK,1,viss,2
green-pea-bayint-naung-df1478b517.svg,green-pea-bayint-naung-df1478b517,Green pea,Yangon,Bayint Naung,MMK,1,viss,2
green-pea-mandalay-4dd99bb5f0.svg,green-pea-mandalay-4dd99bb5f0,Green pea,Mandalay,Mandalay,MMK,59.25,viss,2
groundnut-oil-pakokku-cd8c80c2d3.svg,groundnut-oil-pakokku-cd8c80c2d3,Groundnut Oil,Magway,Pakokku,MMK,1,viss,2
groundnut-white-new-monywa-209c859388.svg,groundnut-white-new-monywa-209c859388,Groundnut (White) (New),Sagaing,Monywa,MMK,1,basket,2
half-chickpea-bayint-naung-2c4cb2d44f.svg,half-chickpea-bayint-naung-2c4cb2d44f,Half Chickpea,Yangon,Bayint Naung,MMK,1,viss,2
jaggery-yesakyo-chaw-bayint-naung-7868380130.svg,jaggery-yesakyo-chaw-bayint-naung-7868380130,Jaggery (Yesakyo) (Chaw),Yangon,Bayint Naung,MMK,1,viss,2
lablab-bean-ka-mandalay-7505109ddc.svg,lablab-bean-ka-mandalay-7505109ddc,Lablab Bean (Ka),Mandalay,Mandalay,MMK,55.25,viss,2
lablab-bean-kone-bayint-naung-47b94d343a.svg,lablab-bean-kone-bayint-naung-47b94d343a,Lablab Bean (Kone),Yangon,Bayint Naung,MMK,1,viss,2
lablab-bean-lat-chaw-aunglan-05ec05d022.svg,lablab-bean-lat-chaw-aunglan-05ec05d022,Lablab Bean (Lat Chaw),Magway,Aunglan,MMK,1,basket,2
lablab-bean-shwe-kyun-aunglan-552681c98c.svg,lablab-bean-shwe-kyun-aunglan-552681c98c,Lablab Bean (Shwe Kyun),Magway,Aunglan,MMK,1,basket,2
lablab-bean-shwe-kyun-bayint-naung-6d234ecd72.svg,lablab-bean-shwe-kyun-bayint-naung-6d234ecd72,Lablab Bean (Shwe Kyun),Yangon,Bayint Naung,MMK,1,viss,2
lablab-bean-sinphyukyun-66b98d1fe1.svg,lablab-bean-sinphyukyun-66b98d1fe1,Lablab Bean,Magway,Sinphyukyun,MMK,1,basket,2
lablab-bean-ta-mandalay-ca370767b0.svg,lablab-bean-ta-mandalay-ca370767b0,Lablab Bean (Ta),Mandalay,Mandalay,MMK,55.25,viss,2
lentil-mandalay-06711b8dee.svg,lentil-mandalay-06711b8dee,Lentil,Mandalay,Mandalay,MMK,1,viss,2
mung-bean-105mile-5b05ce2edb.svg,mung-bean-105mile-5b05ce2edb,Mung Bean,Shan,105mile,USD,1,ton,2
mung-bean-bego-shwe-wah-bayint-naung-8fbe7940fd.svg,mung-bean-bego-shwe-wah-bayint-naung-8fbe7940fd,Mung Bean(Bego Shwe Wah),Yangon,Bayint Naung,MMK,1,viss,2
mung-bean-khayan-shwe-wah-bayint-naung-84d7fdbdd6.svg,mung-bean-khayan-shwe-wah-bayint-naung-84d7fdbdd6,Mung Bean (Khayan Shwe Wah),Yangon,Bayint Naung,MMK,1,viss,2
mung-bean-wakema-bayint-naung-00f1be2897.svg,mung-bean-wakema-bayint-naung-00f1be2897,Mung Bean (Wakema),Yangon,Bayint Naung,MMK,1,viss,2
onion-aung-pan-htoo-3-bayint-naung-8e12ef174e.svg,onion-aung-pan-htoo-3-bayint-naung-8e12ef174e,Onion (Aung Pan Htoo 3),Yangon,Bayint Naung,MMK,1,viss,2
onion-aung-pan-htoo-4-bayint-naung-22cd7834d1.svg,onion-aung-pan-htoo-4-bayint-naung-22cd7834d1,Onion (Aung Pan Htoo 4),Yangon,Bayint Naung,MMK,1,viss,2
onion-aung-pan-htoo-5-bayint-naung-3d144c0df6.svg,onion-aung-pan-htoo-5-bayint-naung-3d144c0df6,Onion (Aung Pan Htoo 5),Yangon,Bayint Naung,MMK,1,viss,2
onion-mawlamyine-b676789076.svg,onion-mawlamyine-b676789076,Onion,MON,Mawlamyine,MMK,1,viss,2
onion-monywa-shal-new-bayint-naung-f07e8bc114.svg,onion-monywa-shal-new-bayint-naung-f07e8bc114,Onion (Monywa Shal) (New),Yangon,Bayint Naung,MMK,1,viss,2
onion-new-john-gyi-pakokku-31e8fe96ac.svg,onion-new-john-gyi-pakokku-31e8fe96ac,Onion (New) (John Gyi),Magway,Pakokku,MMK,1,viss,2
onion-new-john-lat-pakokku-530b36f537.svg,onion-new-john-lat-pakokku-530b36f537,Onion (New) (John Lat),Magway,Pakokku,MMK,1,viss,2
onion-sake-phyu-lat-chaw-bayint-naung-e3a5e09723.svg,onion-sake-phyu-lat-chaw-bayint-naung-e3a5e09723,Onion (Sake Phyu Lat Chaw),Yangon,Bayint Naung,MMK,1,viss,2
onion-sake-phyu-lat-gyi-bayint-naung-49195bb0ff.svg,onion-sake-phyu-lat-gyi-bayint-naung-49195bb0ff,Onion (Sake Phyu Lat Gyi),Yangon,Bayint Naung,MMK,1,viss,2
onion-sake-phyu-lat-thant-bayint-naung-a2b0649951.svg,onion-sake-phyu-lat-thant-bayint-naung-a2b0649951,Onion (Sake Phyu Lat Thant),Yangon,Bayint Naung,MMK,1,viss,2
onion-sake-phyu-shal-bayint-naung-effc3d1a3d.svg,onion-sake-phyu-shal-bayint-naung-effc3d1a3d,Onion (Sake Phyu Shal),Yangon,Bayint Naung,MMK,1,viss,2
paddy-emata-new-rainy-2022-ma-naw-thu-kha-pyapon-0d2abc8549.svg,paddy-emata-new-rainy-2022-ma-naw-thu-kha-pyapon-0d2abc8549,Paddy (Emata) (New)(Rainy 2022)(Ma Naw Thu Kha),Pathein,Pyapon,MMK,100,basket,2
paddy-emata-rainy-2022-ma-naw-thu-kha-myaungmya-f39b6fe228.svg,paddy-emata-rainy-2022-ma-naw-thu-kha-myaungmya-f39b6fe228,Paddy (Emata) (Rainy 2022)(Ma Naw Thu Kha),Pathein,Myaungmya,MMK,100,basket,2
paddy-emata-rainy-2022-ma-naw-thu-kha-pathein-aec91e34c4.svg,paddy-emata-rainy-2022-ma-naw-thu-kha-pathein-aec91e34c4,Paddy (Emata) (Rainy 2022)(Ma Naw Thu Kha),Pathein,Pathein,MMK,100,basket,2
paddy-emata-rainy-2022-myaungmya-3352211b5b.svg,paddy-emata-rainy-2022-myaungmya-3352211b5b,Paddy (Emata) (Rainy 2022),Pathein,Myaungmya,MMK,1,basket,2
