source,source_record_id,name,location,marketplace,market_chain_level,min_price,max_price,modal_price,currency,quantity,unit,observed_at,collected_at,source_url
wisarra,,Rice (Pyapon Paw San) (New),Yangon,War Tan,unspecified,155000,165000,,MMK,1.5,basket,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Rice (MyaungMya Pathein Paw San) (New),Yangon,War Tan,unspecified,153000,163000,,MMK,1.5,basket,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Rice (Paw San Nae Sone) (New),Yangon,War Tan,unspecified,142000,150000,,MMK,1.5,basket,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Rice (Nga Sein) (New),Yangon,War Tan,unspecified,65000,69000,,MMK,1.5,basket,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Rice (Shwebo Paw San),Yangon,War Tan,unspecified,210000,225000,,MMK,1.5,basket,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Rice (Emata 25%),Yangon,War Tan,unspecified,72000,78000,,MMK,1.5,basket,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Rice (90 Day Thit Shal),Yangon,War Tan,unspecified,88000,95000,,MMK,1.5,basket,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Rice (Thee Htet Shal),Yangon,War Tan,unspecified,68000,73000,,MMK,1.5,basket,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,"Blackgram (SQ, RC) (2023)",Yangon,Bayint Naung,unspecified,,3500000,,MMK,1,ton,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Pigeon Pea (RC) (2021),Yangon,Bayint Naung,unspecified,,3830000,,MMK,1,ton,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Chick Pea (Phyu Lone),Yangon,Bayint Naung,unspecified,,3220000,,MMK,1,viss,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Chick Pea (Phyu Lone Gyi),Yangon,Bayint Naung,unspecified,,3770,,MMK,1,viss,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Green pea,Yangon,Bayint Naung,unspecified,4210,4385,,MMK,1,viss,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Sultani Sultapya,Yangon,Bayint Naung,unspecified,11665,13835,,MMK,1,viss,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Butter Bean,Yangon,Bayint Naung,unspecified,,4865,,MMK,1,viss,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
wisarra,,Lablab Bean (Shwe Kyun),Yangon,Bayint Naung,unspecified,,4170,,MMK,1,viss,2026-08-08T00:00:00Z,2026-08-10T17:32:57Z,https://wisarra.com/en/market-price
