source,source_record_id,name,location,marketplace,market_chain_level,min_price,max_price,modal_price,currency,quantity,unit,observed_at,collected_at,source_url
wisarra,,Rice (Pyapon Paw San) (New),Yangon,War Tan,unspecified,155000,165000,,MMK,1.5,basket,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Rice (MyaungMya Pathein Paw San) (New),Yangon,War Tan,unspecified,160000,170000,,MMK,1.5,basket,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Rice (Paw San Nae Sone) (New),Yangon,War Tan,unspecified,153000,163000,,MMK,1.5,basket,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Rice (Nga Sein) (New),Yangon,War Tan,unspecified,68000,73000,,MMK,1.5,basket,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Rice (Shwebo Paw San),Yangon,War Tan,unspecified,200000,225000,,MMK,1.5,basket,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Rice (Emata 25%),Yangon,War Tan,unspecified,77000,82000,,MMK,1.5,basket,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Rice (90 Day Thit Shal),Yangon,War Tan,unspecified,95000,100000,,MMK,1.5,basket,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Rice (Thee Htet Shal),Yangon,War Tan,unspecified,77000,83000,,MMK,1.5,basket,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,"Blackgram (SQ, RC) (2023)",Yangon,Bayint Naung,unspecified,,3391000,,MMK,1,ton,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Pigeon Pea (RC) (2021),Yangon,Bayint Naung,unspecified,,3701000,,MMK,1,ton,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Chick Pea (Phyu Lone),Yangon,Bayint Naung,unspecified,,3207000,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Chick Pea (Phyu Lone Gyi),Yangon,Bayint Naung,unspecified,,3860,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Green pea,Yangon,Bayint Naung,unspecified,,4385,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Sultani Sultapya,Yangon,Bayint Naung,unspecified,12665,13835,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Butter Bean,Yangon,Bayint Naung,unspecified,,4865,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Lablab Bean (Shwe Kyun),Yangon,Bayint Naung,unspecified,,4170,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Lablab Bean (Kone),Yangon,Bayint Naung,unspecified,15040,15580,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Mung Bean (Khayan Shwe Wah),Yangon,Bayint Naung,unspecified,12695,13045,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Mung Bean(Bego Shwe Wah),Yangon,Bayint Naung,unspecified,,5665,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Mung Bean (Wakema),Yangon,Bayint Naung,unspecified,,5665,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Corn,Yangon,Bayint Naung,unspecified,5000,6520,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Bocate,Yangon,Bayint Naung,unspecified,1740,1770,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Half Chickpea,Yangon,Bayint Naung,unspecified,3500,3670,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Soya Bean (Delta),Yangon,Bayint Naung,unspecified,5700,6000,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Soya Bean (Delta) (High Yield),Yangon,Bayint Naung,unspecified,8165,8335,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Onion (Sake Phyu Shal),Yangon,Bayint Naung,unspecified,7665,7835,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Onion (Sake Phyu Lat Gyi),Yangon,Bayint Naung,unspecified,,6400,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Onion (Sake Phyu Lat Thant),Yangon,Bayint Naung,unspecified,,6100,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Onion (Sake Phyu Lat Chaw),Yangon,Bayint Naung,unspecified,,5700,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
wisarra,,Onion (Monywa Shal) (New),Yangon,Bayint Naung,unspecified,,4800,,MMK,1,viss,2026-08-21T00:00:00Z,2026-08-22T03:45:55Z,https://wisarra.com/en/market-price
