source,source_record_id,name,location,marketplace,market_chain_level,min_price,max_price,modal_price,currency,quantity,unit,observed_at,collected_at,source_url
wisarra,,Avocado,Yangon,Thiri Mingalar Zay,unspecified,2000,5000,,MMK,1,pc,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Banana (PheGyan),Yangon,Thiri Mingalar Zay,unspecified,4000,6000,,MMK,1,pc,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Bell Pepper,Shan,Aungpan,unspecified,1500,3000,,MMK,1,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Black Gram(New),Sagaing,Monywa,unspecified,,73000,,MMK,1,basket,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Black Sesame,Bago,Pyay,unspecified,,1886000,,MMK,1,bag,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Black Sesame (New),Sagaing,Monywa,unspecified,110000,112000,,MMK,1,basket,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Black Sesame (Samone),Bago,Pyay,unspecified,,117000,,MMK,1,bag,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Black Sesame (Samone) (New),Magway,Aunglan,unspecified,,,,MMK,1,bag,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Black Sesame (Winter),Mandalay,Mandalay,unspecified,345000,350000,,MMK,45,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Blackgram,Bago,Paungde,unspecified,,77000,,MMK,1,basket,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Blackgram,Magway,Sinphyukyun,unspecified,,,,MMK,1,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Blackgram (New),Bago,Pyay,unspecified,,1886000,,MMK,1,basket,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Blackgram (New),Mandalay,Mandalay,unspecified,,219000,,MMK,60,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,"Blackgram (SQ, RC) (2023)",Yangon,Bayint Naung,unspecified,,3273000,,MMK,1,ton,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Blue Cow Pea (New),Mandalay,Mandalay,unspecified,595000,630000,,MMK,54.25,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Blue Sesame (Thant) (New),Magway,Aunglan,unspecified,450000,500000,,MMK,1,bag,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Bocate,Yangon,Bayint Naung,unspecified,1750,1770,,MMK,1,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Brown Sesame,Magway,Pakokku,unspecified,155000,160000,,MMK,1,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Brown Sesame (New),Sagaing,Monywa,unspecified,11800,12100,,MMK,1,basket,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Brown Sesame (Old),Mandalay,Mandalay,unspecified,475000,545000,,MMK,45,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Butter Bean,Yangon,Bayint Naung,unspecified,,4865,,MMK,1,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Butter Bean (Gyi),Mandalay,Mandalay,unspecified,690000,700000,,MMK,56.25,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,CP Corn (Kyautme),Shan,Lashio,unspecified,500000,550000,,MMK,1,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,CP Corn (Muse),Shan,Lashio,unspecified,,92000,,MMK,1,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,CP Corn (Naunghkio),Shan,Lashio,unspecified,123000,125000,,MMK,1,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Capsicum,Yangon,Thiri Mingalar Zay,unspecified,300,500,,MMK,1,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Carrot,Shan,Aungpan,unspecified,,115000,,MMK,1,pc,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Castor Seed,Sagaing,Monywa,unspecified,140000,170000,,MMK,1,basket,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Cauliflower,Shan,Aungpan,unspecified,964,,,MMK,1,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Chayote,Shan,Aungpan,unspecified,,,,MMK,1,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Chayote,Yangon,Thiri Mingalar Zay,unspecified,1500,5000,,MMK,1,pc,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,"Chick Pea (929) (New, Old)",Sagaing,Monywa,unspecified,,72000,,MMK,1,basket,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Chick Pea (Holland),Magway,Magway,unspecified,102500,103000,,MMK,19,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Chick Pea (Holland) (New),Bago,Paungde,unspecified,,2509000,,MMK,1,basket,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Chick Pea (Phyu Lone Gyi),Yangon,Bayint Naung,unspecified,,3770,,MMK,1,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Chick Pea (Phyu Lone),Yangon,Bayint Naung,unspecified,,3130000,,MMK,1,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Chick Pea (Small),Magway,Magway,unspecified,,95000,,MMK,19,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
wisarra,,Chick Pea (Taiwan) (New),Mandalay,Mandalay,unspecified,175000,190000,,MMK,56,viss,2026-07-06T12:45:54Z,2026-07-06T12:45:54Z,https://wisarra.com/en/market-price
